imdb_id,title,type,origin,rating,runtime_mins,year,genres,votes
tt11131962,"Kissing Game","TV Series",Netflix,6.1,NULL,2020,"Drama, Mystery, Thriller",970
tt11131980,"Nobody's Looking","TV Series",Netflix,7.7,26,2019,"Comedy, Drama, Fantasy",2656
tt11133480,"Mauricio Meirelles: Generating Chaos","TV Special",Netflix,6.7,63,2020,Comedy,160
tt11142762,Pagglait,Movie,Netflix,6.9,114,2021,"Comedy, Drama",11174
tt11146690,Wolfgang,Movie,Disney,6.9,78,2021,"Documentary, Biography",471
tt11150912,"Jamtara: Sabka Number Ayega","TV Series",Netflix,7.3,29,2020,Crime,10448
tt11151792,"The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie","TV Short",Netflix,7.1,13,2019,"Documentary, Short",1671
tt11156614,"Dead Kids",Movie,Netflix,5.4,98,2019,"Drama, Thriller",704
tt11161474,"Pieces of a Woman",Movie,Netflix,7,126,2020,Drama,58921
tt11162974,"Go! The Unforgettable Party",Movie,Netflix,5.5,60,2019,Family,250
tt11162992,"Lorena, Light-footed Woman",Short,Netflix,7,28,2019,"Documentary, Short, Sport",1084
tt11163008,"Iliza Shlesinger: Unveiled","TV Special",Netflix,6.5,78,2019,Comedy,2057
tt11163014,"Mike Birbiglia: The New One","TV Special",Netflix,7.7,85,2019,Comedy,2365
tt11163028,"House Arrest",Movie,Netflix,5.5,104,2019,Comedy,1875
tt11163352,"The Disastrous Life of Saiki K.: Reawakened","TV Series",Netflix,7.8,NULL,2019,"Animation, Comedy",2812
tt11165002,"The Devil Next Door","TV Mini Series",Netflix,7.5,45,2019,"Documentary, Crime, History",15886
tt11165358,"Adventure Time: Distant Lands","TV Mini Series",HBO,8.6,42,2020,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy, Musical, Sci-Fi",9405
tt11168100,"Seth Meyers: Lobby Baby","TV Special",Netflix,7.5,61,2019,Comedy,3105
tt11168104,"Maradona in Mexico","TV Mini Series",Netflix,7.2,NULL,2019,"Documentary, Comedy, Drama, Reality-TV, Sport",1264
tt11168116,"Sugar Rush Christmas","TV Series",Netflix,6.9,NULL,2019,Reality-TV,759
tt11168150,"Fadily Camara: La plus drÃƒÂ´le de tes copines","TV Movie",Netflix,5.9,54,2019,Comedy,63
tt11168226,Broken,"TV Series",Netflix,6.9,NULL,2019,Documentary,1379
tt11168604,"Anxious People","TV Mini Series",Netflix,6.8,29,2021,"Comedy, Crime, Drama, Mystery",5337
tt11176048,"Earth to Ned","TV Series",Disney,6.6,30,2020,"Comedy, Sci-Fi, Talk-Show",459
tt11177308,"Tom Papa: You're Doing Great!","TV Special",Netflix,7.2,60,2020,Comedy,1109
tt11178402,"Mickey: The Story of a Mouse",Movie,Disney,6.9,89,2022,"Documentary, Biography",1076
tt11188392,"Expecting Amy","TV Mini Series",HBO,7.1,NULL,2020,"Documentary, Comedy",955
tt11193888,"A Family Reunion Christmas","TV Movie",Netflix,5.8,28,2019,"Comedy, Family",345
tt11194006,"The New Adventures of Oggy","TV Series",Netflix,6.3,22,2021,"Animation, Adventure, Comedy, Family",105
tt11194508,"Singapore Social","TV Series",Netflix,4.5,44,2019,Reality-TV,1456
tt11194518,"Zona Rosa","TV Series",Netflix,5.5,NULL,2019,Comedy,74
tt11199410,"The Princess Switch: Switched Again",Movie,Netflix,5.4,96,2020,"Comedy, Drama, Family, Romance",14636
tt11199552,"Disney Family Sundays","TV Series",Disney,6.4,8,2019,"Family, Reality-TV",63
tt11199558,"Pixar in Real Life","TV Series",Disney,6.4,4,2019,"Comedy, Family, Reality-TV",980
tt11203896,"Vice Investigates","TV Series",Hulu,7.1,NULL,2019,Documentary,109
tt11213372,"Stuck Apart",Movie,Netflix,6,96,2021,"Comedy, Drama",11722
tt11213600,"Sardar Ka Grandson",Movie,Netflix,4.3,139,2021,"Comedy, Drama, Romance",5130
tt11215112,"Narcoworld: Dope Stories","TV Series",Netflix,6.5,39,2019,"Documentary, Crime",416
tt11215130,"No Time for Shame","TV Mini Series",Netflix,5.6,NULL,2019,Reality-TV,101
tt11215186,"Lugar de Mulher","TV Series",Netflix,4.7,NULL,2019,Comedy,55
tt11224358,"Pray Away",Movie,Netflix,6.5,101,2021,Documentary,3791
tt11226258,"Playing with Sharks: The Valerie Taylor Story",Movie,Disney,7.5,95,2021,"Documentary, Adventure",705
tt11233960,"The Unforgivable",Movie,Netflix,7.1,112,2021,"Crime, Drama, Mystery",125127
