imdb_id,status
tt9384194,Concluded
tt8685446,Concluded
tt9169602,Concluded
tt10085386,Concluded
tt11194518,Concluded
tt11215186,Concluded
tt11823028,Cancelled
tt11942100,Concluded
tt12027034,Concluded
tt13607518,Concluded
tt14494718,Concluded
tt14167428,Concluded
tt15663868,Concluded
tt13365348,Concluded
tt11859542,Concluded
tt15527308,Concluded
tt12027896,Concluded
tt16492950,Concluded
tt14160712,Concluded
tt16745502,Concluded
tt15101670,Cancelled
tt14169960,Concluded
tt14655298,Concluded
tt14153686,Concluded
tt13323004,Concluded
tt16539880,Concluded
tt16583602,Concluded
tt15257704,Concluded
tt15494864,Concluded
tt16584084,Cancelled
tt5820976,Concluded
tt14494894,Concluded
tt15264192,Concluded
tt11311302,Cancelled
tt10611608,Concluded
tt12432642,Cancelled
tt13956560,Cancelled
tt15410190,Cancelled
tt15553922,Cancelled
tt15301854,Concluded
tt12379170,Concluded
tt15943826,Concluded
tt17045104,Concluded
tt17052148,Concluded
tt13317478,Concluded
tt8323702,Concluded
tt18274188,Concluded
tt16549788,Concluded
tt11092142,Cancelled
tt18274176,Cancelled
tt14202476,Concluded
tt18253682,Concluded
tt18260550,Cancelled
tt15096836,Cancelled
tt14494806,Concluded
tt13317508,Cancelled
tt18274172,Concluded
tt14465966,Cancelled
tt17737382,Concluded
tt14537060,Cancelled
tt16369694,Cancelled
tt18217272,Cancelled
tt18314214,Cancelled
tt15302054,Cancelled
tt18246842,Concluded
tt15326678,Concluded
tt14746934,Concluded
tt14319674,Concluded
tt18568732,Concluded
tt12360292,Concluded
tt15019128,Concluded
tt12885670,Cancelled
tt10638036,Cancelled
tt14959710,Concluded
tt18393972,Cancelled
tt15527326,Concluded
tt10050740,Cancelled
tt12717354,Concluded
tt14859224,Concluded
tt14140886,Cancelled
tt14160684,Concluded
tt15353358,Concluded
tt13308276,Concluded
tt18974572,Concluded
tt13317454,Concluded
tt18954258,Concluded
tt18396952,Cancelled
tt16912298,Concluded
tt14719276,Concluded
tt19671142,Concluded
tt13833978,Cancelled
tt19361940,Cancelled
tt19883592,Cancelled
tt14134334,Concluded
tt14460684,Concluded
tt13457822,Concluded
tt13238304,Cancelled
tt19398016,Concluded
tt19037550,Concluded
tt20449034,Concluded
tt13315156,Concluded
tt13861620,Cancelled
tt13640670,Concluded
tt17736234,Concluded
tt12642764,Concluded
tt19389564,Concluded
tt13696452,Cancelled
tt13561292,Concluded
tt14463542,Concluded
tt13323566,Cancelled
tt20113404,Cancelled
tt20602042,Cancelled
tt19895946,Cancelled
tt20560384,Cancelled
tt20192132,Cancelled
tt17216636,Cancelled
tt15292870,Concluded
tt20597418,Cancelled
tt14849626,Cancelled
tt13925166,Cancelled
tt15341198,Concluded
tt12005828,Cancelled
tt20560428,Concluded
tt9660182,Cancelled
tt10062046,Cancelled
tt21195532,Cancelled
tt15466144,Concluded
tt14589904,Cancelled
tt18783984,Cancelled
tt21195494,Cancelled
tt15268768,Concluded
tt21081098,Cancelled
tt13322978,Concluded
tt14664414,Cancelled
tt14899624,Concluded
tt14178824,Cancelled
tt21030224,Cancelled
tt20871054,Concluded
tt21315194,Cancelled
tt1751634,Concluded
tt15390524,Concluded
tt21261420,Cancelled
tt15875168,Cancelled
tt14272704,Cancelled
tt15527362,Cancelled
tt14906890,Cancelled
tt15527388,Cancelled
tt15135104,Cancelled
tt21289712,Cancelled
tt19723700,Cancelled
tt15096920,Cancelled
tt17641200,Cancelled
tt13106334,Cancelled
tt21332800,Cancelled
tt21341988,Cancelled
tt21448384,Cancelled
tt21107788,Cancelled
tt19113328,Concluded
tt15018238,Cancelled
tt15907000,Cancelled
tt21425934,Cancelled
tt2061527,Cancelled
tt13207736,Cancelled
tt14502728,Cancelled
tt15054962,Concluded
tt15654944,Concluded
tt22085978,Cancelled
tt4163486,Concluded
tt12590266,Cancelled
tt21448608,Concluded
tt13720112,Concluded
tt14518692,Concluded
tt15847542,Concluded
tt13697652,Concluded
tt14278524,Concluded
tt21432090,Cancelled
tt21839470,Concluded
tt21811888,Concluded
tt21340378,Concluded
tt10112282,Concluded
tt21107826,Concluded
tt15292942,Concluded
tt15781290,Cancelled
tt21107750,Cancelled
tt21439566,Cancelled
tt15764684,Cancelled
tt21964626,Cancelled
tt16442864,Cancelled
tt13444912,Cancelled
tt14852808,Cancelled
tt8415836,Cancelled
tt13649396,Cancelled
tt22479892,Cancelled
tt21107718,Cancelled
tt13351446,Cancelled
tt13983670,Cancelled
tt22055232,Cancelled
tt14987274,Cancelled
tt14735382,Cancelled
tt15096728,Concluded
tt19723774,Concluded
tt22055200,Concluded
tt15576994,Concluded
tt14463608,Concluded
tt14486722,Concluded
tt22180926,Concluded
tt22071828,Concluded
tt22437106,Concluded
tt22437092,Concluded
tt21839652,Concluded
tt22227040,Concluded
tt22071840,Concluded
tt21840870,Concluded
tt15553888,Concluded
tt10948716,Cancelled
tt21822078,Concluded
tt22750574,Concluded
tt21990768,Concluded
tt9319668,Concluded
tt16124614,Concluded
tt13443470,Concluded
tt22097692,Concluded
tt23037654,Cancelled
tt15289042,Concluded
tt22479848,Concluded
tt22807484,Concluded
tt23061466,Concluded
tt21107776,Concluded
tt22941150,Concluded
tt22263614,Concluded
tt23248022,Concluded
tt23061586,Concluded
tt21840894,Concluded
tt14302518,Concluded
tt8421350,Concluded
tt22012456,Concluded
tt23900194,Concluded
tt23747008,Concluded
tt16030542,Concluded
tt21031054,Concluded
tt13961348,Concluded
tt23556972,Concluded
tt21104890,Cancelled
tt22373732,Concluded
tt21344706,Cancelled
tt19723990,Concluded
tt19723864,Concluded
tt18313946,Concluded
tt23556906,Concluded
tt18482892,Concluded
tt22297578,Concluded
tt24749054,Concluded
tt21840938,Concluded
tt15292892,Concluded
tt23556846,Concluded
tt23826750,Concluded
tt23905576,Cancelled
tt15285844,Concluded
tt23897214,Concluded
tt15787870,Concluded
tt22099034,Concluded
tt13802576,Concluded
tt15591076,Concluded
tt21856734,Concluded
tt22013036,Concluded
tt23546622,Cancelled
tt12708140,Concluded
tt25031242,Cancelled
tt16913068,Cancelled
tt16969944,Cancelled
tt17048442,Concluded
tt24224968,Concluded
tt22481904,Cancelled
tt25274446,Concluded
tt25377596,Cancelled
