"year","origin","genre","count"
"2025","Disney","Action","3"
"2025","Disney","Adventure","2"
"2025","Disney","Fantasy","4"
"2025","Disney","Sci-Fi","3"
"2024","Disney","Animation","2"
"2024","Disney","Drama","2"
"2024","Disney","Family","1"
"2025","Disney","Animation","2"
"2025","Disney","Comedy","2"
"2025","Disney","Family","1"
"2025","Disney","Sport","1"
"2021","Disney","Short","8"
"2021","Disney","Game-Show","1"
"2021","Disney","Reality-TV","1"
"2023","Disney","Drama","11"
"2023","Disney","Sport","4"
"2015","Netflix","Drama","17"
"2015","Netflix","War","1"
"2017","Netflix","Action","24"
"2017","Netflix","Adventure","27"
"2017","Netflix","Sci-Fi","15"
"2022","Netflix","Sport","22"
"2023","Netflix","Horror","23"
"2017","Netflix","Romance","17"
"2021","Disney","Musical","4"
"2015","Netflix","Animation","11"
"2015","Netflix","Action","8"
"2015","Netflix","Adventure","9"
"2015","Netflix","Comedy","32"
"2015","Netflix","Family","9"
"2015","Netflix","Sci-Fi","8"
"2024","Netflix","Horror","18"
"2023","Disney","Crime","2"
"2021","Netflix","Talk-Show","3"
"2025","Netflix","Action","29"
"2025","Netflix","Drama","125"
"2023","Netflix","Biography","30"
"2025","Netflix","Animation","15"
"2025","Netflix","Adventure","16"
"2025","Netflix","Family","8"
"2025","Netflix","Fantasy","12"
"2025","Netflix","History","15"
"2023","Netflix","Reality-TV","36"
"2025","Netflix","Music","13"
"2025","Netflix","Musical","2"
"2022","Disney","Horror","3"
"2022","Netflix","Western","2"
"2022","Disney","Music","11"
"2023","Netflix","Sport","28"
"2021","Netflix","Game-Show","7"
"2022","Netflix","Reality-TV","50"
"2021","Disney","Talk-Show","2"
"2018","Netflix","Mystery","30"
"2018","Netflix","Sci-Fi","28"
"2018","Netflix","Thriller","50"
"2023","Disney","Animation","4"
"2023","Disney","Short","3"
"2025","Netflix","Sport","22"
"2023","Netflix","Short","19"
"2023","Netflix","Music","21"
"2021","Disney","Music","2"
"2022","Netflix","Game-Show","14"
"2023","Netflix","War","5"
"2016","Netflix","Action","18"
"2016","Netflix","Crime","14"
"2024","Netflix","Music","20"
"2025","Netflix","Romance","37"
"2023","Disney","Musical","6"
"2023","Disney","Comedy","15"
"2024","Disney","Comedy","1"
"2025","Netflix","Documentary","84"
"2009","Netflix","Action","1"
"2009","Netflix","Drama","2"
"2023","Netflix","Musical","2"
"2023","Disney","Music","10"
"2025","Disney","Drama","2"
"2011","Netflix","Crime","4"
"2011","Netflix","Drama","3"
"2011","Netflix","Mystery","2"
"2011","Netflix","Thriller","3"
"2016","Netflix","Drama","41"
"2016","Netflix","Romance","9"
"2018","Netflix","Musical","9"
"2018","Netflix","Biography","20"
"2016","Amazon","Documentary","3"
"2016","Amazon","Music","1"
"2023","Disney","Romance","1"
"2016","Netflix","Animation","15"
"2016","Netflix","Adventure","15"
"2016","Netflix","Fantasy","14"
"2016","Netflix","Sci-Fi","14"
"2015","Amazon","Drama","12"
"2015","Amazon","Sci-Fi","3"
"2015","Amazon","Thriller","2"
"2009","Netflix","Animation","1"
"2009","Netflix","Comedy","1"
"2009","Netflix","Romance","1"
"2023","Disney","Horror","1"
"2019","Amazon","Biography","3"
"2019","Amazon","History","3"
"2023","Disney","Biography","4"
"2023","Disney","History","1"
"2023","Disney","War","1"
"2018","Netflix","Family","31"
"2023","Disney","Documentary","16"
"2023","Disney","Reality-TV","1"
"2011","Hulu","Action","1"
"2011","Hulu","Crime","1"
"2011","Hulu","Drama","1"
"2011","Hulu","Thriller","1"
"2011","Hulu","Short","1"
"2011","Hulu","Talk-Show","1"
"2012","Netflix","Action","1"
"2012","Netflix","Crime","2"
"2012","Netflix","Drama","4"
"2012","Netflix","Western","1"
"2013","Netflix","Drama","3"
"2013","Netflix","Thriller","2"
"2019","Netflix","Western","1"
"2011","Netflix","Animation","2"
"2011","Netflix","Adventure","2"
"2011","Netflix","Comedy","2"
"2011","Netflix","Family","1"
"2011","Netflix","Fantasy","1"
"2017","Netflix","Documentary","51"
"2025","Disney","Crime","1"
"2025","Disney","Thriller","1"
"2023","Netflix","Game-Show","16"
"2022","Netflix","Talk-Show","2"
"2012","Netflix","Comedy","2"
"2016","Amazon","Horror","1"
"2016","Amazon","Thriller","3"
"2022","Disney","History","1"
"2011","Hulu","Documentary","1"
"2011","Netflix","Action","1"
"2011","Netflix","Sci-Fi","2"
"2025","Netflix","Sci-Fi","10"
"2025","Netflix","Horror","5"
"2023","Netflix","Western","1"
"2012","Netflix","Documentary","1"
"2012","Amazon","Crime","1"
"2012","Amazon","Drama","1"
"2012","Amazon","Mystery","1"
"2012","Amazon","Thriller","1"
"2012","Hulu","Comedy","4"
"2012","Hulu","Drama","1"
"2012","Hulu","Biography","1"
"2014","Netflix","Action","2"
"2014","Netflix","Adventure","3"
"2014","Netflix","Drama","4"
"2014","Netflix","History","1"
"2022","Disney","Game-Show","1"
"2020","Hulu","History","3"
"2018","Netflix","Action","31"
"2018","Netflix","Adventure","30"
"2012","Hulu","Animation","1"
"2012","Hulu","Family","1"
"2013","Amazon","Action","2"
"2013","Amazon","Adventure","1"
"2013","Amazon","Drama","2"
"2013","Amazon","History","1"
"2013","Amazon","Romance","1"
"2013","Amazon","War","1"
"2013","Netflix","Fantasy","2"
"2013","Netflix","Horror","1"
"2013","Netflix","Mystery","1"
"2013","Netflix","Sci-Fi","2"
"2013","Hulu","Drama","1"
"2012","Netflix","Family","1"
"2012","Netflix","Talk-Show","1"
"2015","Netflix","Crime","5"
"2015","Netflix","Thriller","7"
"2013","Netflix","Comedy","6"
"2013","Netflix","Crime","1"
"2024","Netflix","Game-Show","14"
"2024","Netflix","Reality-TV","39"
"2018","Netflix","Horror","22"
"2018","Netflix","Fantasy","31"
"2021","Amazon","Adventure","1"
"2021","Amazon","Comedy","1"
"2021","Amazon","Family","1"
"2021","Amazon","Fantasy","1"
"2012","Hulu","Talk-Show","1"
"2019","Amazon","Family","1"
"2025","Netflix","Western","3"
"2015","Netflix","Mystery","3"
"2024","Netflix","War","3"
"2015","Netflix","Western","2"
"2017","Netflix","War","5"
"2013","Hulu","Comedy","4"
"2013","Hulu","Crime","1"
"2013","Hulu","Thriller","1"
"2015","Netflix","Biography","4"
"2023","Netflix","Talk-Show","3"
"2024","Netflix","Short","10"
"2024","Netflix","Western","3"
"2025","Netflix","Reality-TV","27"
"2024","Netflix",\N,"1"
"2023","Netflix",\N,"1"
"2015","Amazon","Comedy","8"
"2015","Amazon","Crime","3"
"2013","Hulu","Animation","2"
"2013","Hulu","Action","1"
"2016","Hulu","Drama","7"
"2016","Hulu","Mystery","2"
"2016","Hulu","Romance","1"
"2016","Hulu","Sci-Fi","3"
"2016","Hulu","Thriller","4"
"2013","Hulu","Western","1"
"2013","Hulu","Documentary","1"
"2013","Hulu","Sport","1"
"2022","HBO","Crime","1"
"2022","HBO","Drama","1"
"2022","HBO","Thriller","1"
"2024","Netflix","Talk-Show","5"
"2013","Netflix","Animation","3"
"2013","Netflix","Action","2"
"2013","Netflix","Adventure","2"
"2013","Netflix","Family","3"
"2013","Netflix","Sport","1"
"2013","Amazon","Comedy","2"
"2013","Amazon","Family","1"
"2013","Amazon","Sci-Fi","1"
"2025","Netflix","Biography","7"
"2016","Amazon","Romance","5"
"2014","Hulu","Comedy","3"
"2014","Hulu","Fantasy","1"
"2025","Netflix","Game-Show","10"
"2015","Amazon","Mystery","2"
"2025","Netflix",\N,"2"
"2025","Netflix","War","4"
"2017","Amazon","Biography","1"
"2017","Amazon","Crime","4"
"2017","Amazon","Romance","3"
"2015","Hulu","Drama","2"
"2016","Netflix","Thriller","17"
"2014","Netflix","Documentary","3"
"2014","Netflix","Comedy","7"
"2014","Netflix","Family","3"
"2014","Netflix","Animation","3"
"2014","Amazon","Adventure","1"
"2014","Amazon","Family","1"
"2014","Amazon","Fantasy","1"
"2014","Amazon","Comedy","3"
"2014","Amazon","Drama","5"
"2014","Amazon","Music","1"
"2014","Amazon","Crime","2"
"2025","Netflix","Short","2"
"2025","Netflix","Talk-Show","3"
"2014","Netflix","Short","1"
"2014","Netflix","Music","2"
"2014","Netflix","Biography","2"
"2018","Amazon","Action","3"
"2018","Amazon","Crime","3"
"2025","Netflix","News","1"
"2021","HBO","Romance","1"
"2014","Netflix","Fantasy","1"
"2015","Netflix","Fantasy","4"
"2019","Hulu","Drama","8"
"2019","Hulu","Romance","3"
"2016","Netflix","War","4"
"2015","Amazon","Adventure","1"
"2015","Amazon","Family","2"
"2015","Amazon","Fantasy","1"
"2018","Netflix","Music","13"
"2014","Amazon","Sport","1"
"2015","Netflix","Documentary","12"
"2016","Netflix","Mystery","14"
"2016","Netflix","Documentary","25"
"2016","Netflix","Music","6"
"2013","Netflix","Short","1"
"2015","Netflix","History","4"
"2015","Netflix","Horror","1"
"2015","Amazon","Sport","1"
"2017","Amazon","Action","4"
"2017","Amazon","Thriller","4"
"2017","Amazon","War","3"
"2016","Amazon","Mystery","1"
"2015","Netflix","Music","5"
"2015","Netflix","Musical","2"
"2016","Netflix","Horror","4"
"2015","Hulu","Comedy","4"
"2016","Netflix","Musical","3"
"2015","Amazon","Musical","1"
"2015","Netflix","Romance","1"
"2018","Amazon","History","1"
"2015","Hulu","Action","3"
"2016","Hulu","Comedy","2"
"2015","Netflix","Sport","1"
"2016","Netflix","History","5"
"2016","Netflix","Western","2"
"2018","Netflix","Animation","32"
"2016","Netflix","Biography","4"
"2015","Netflix","Reality-TV","1"
"2017","Netflix","History","7"
"2020","Disney","Romance","1"
"2015","Amazon","Biography","1"
"2015","Amazon","History","1"
"2017","Hulu","Adventure","1"
"2017","Hulu","Comedy","3"
"2017","Hulu","Fantasy","1"
"2019","Hulu","Action","2"
"2019","Hulu","Thriller","3"
"2019","Hulu","War","1"
"2015","Hulu","Mystery","1"
"2015","Hulu","Thriller","1"
"2018","Netflix","War","3"
"2019","Disney","Adventure","6"
"2019","Disney","Biography","1"
"2019","Disney","Drama","5"
"2019","Disney","History","1"
"2017","Amazon","Adventure","3"
"2017","Amazon","Comedy","7"
"2017","Amazon","Family","2"
"2017","Amazon","Sci-Fi","1"
"2017","Amazon","Mystery","4"
"2016","Netflix","Talk-Show","2"
"2016","HBO","Comedy","1"
"2016","HBO","Crime","1"
"2016","HBO","Drama","1"
"2016","HBO","Mystery","1"
"2016","HBO","Thriller","1"
"2016","Hulu","Crime","1"
"2016","Hulu","Fantasy","1"
"2017","Amazon","Animation","1"
"2016","Netflix","Short","2"
"2017","Netflix","Music","7"
"2016","Amazon","Action","2"
"2016","Amazon","Fantasy","1"
"2016","Amazon","Sci-Fi","1"
"2018","Netflix","Sport","11"
"2016","Netflix","Sport","4"
"2017","Netflix","Musical","6"
"2017","Netflix","Game-Show","2"
"2017","Netflix","Reality-TV","4"
"2015","Disney","Documentary","1"
"2016","Netflix","Reality-TV","5"
"2017","Netflix","Sport","8"
"2016","Hulu","Horror","2"
"2018","Hulu","Drama","13"
"2018","Hulu","War","1"
"2017","Hulu","Thriller","1"
"2020","Amazon","Romance","1"
"2016","Hulu","Action","1"
"2017","Amazon","Music","1"
"2017","Amazon","Fantasy","1"
"2017","Amazon","History","1"
"2018","Amazon","Romance","3"
"2018","Amazon","Sci-Fi","1"
"2019","Amazon","Romance","5"
"2017","Netflix","Talk-Show","3"
"2016","Disney","Documentary","1"
"2016","Disney","Family","1"
"2017","Hulu","Crime","1"
"2017","Amazon","Documentary","3"
"2017","Amazon","Horror","1"
"2019","Amazon","Adventure","1"
"2018","Hulu","Crime","3"
"2018","Hulu","Sci-Fi","4"
"2018","Netflix","Western","1"
"2015","HBO","Game-Show","1"
"2015","HBO","Reality-TV","1"
"2018","Hulu","History","1"
"2018","Amazon","Music","1"
"2018","Hulu","Fantasy","4"
"2018","Hulu","Horror","3"
"2018","Hulu","Mystery","5"
"2018","Hulu","Thriller","3"
"2018","Netflix","History","7"
"2018","Netflix","Short","13"
"2015","Netflix","Short","1"
"2017","Disney","Reality-TV","1"
"2018","Netflix","Game-Show","4"
"2018","Netflix","Reality-TV","19"
"2020","HBO","Thriller","3"
"2018","Hulu","Comedy","3"
"2018","Hulu","Family","2"
"2018","Hulu","Music","2"
"2018","Netflix","Talk-Show","9"
"2016","Netflix","Game-Show","1"
"2017","Hulu","Romance","1"
"2020","Hulu","Crime","1"
"2020","Hulu","Thriller","3"
"2020","Hulu","War","1"
"2017","Hulu","Talk-Show","1"
"2020","HBO","Mystery","1"
"2018","Disney","Biography","1"
"2018","Disney","Music","1"
"2017","Hulu","Animation","1"
"2017","Hulu","Short","1"
"2019","Disney","Musical","6"
"2021","HBO","Comedy","1"
"2019","Netflix","War","1"
"2018","Hulu","Romance","1"
"2018","Netflix","News","2"
"2020","Hulu","Mystery","2"
"2019","Disney","Romance","1"
"2019","Amazon","Animation","1"
"2019","Disney","Action","3"
"2019","Disney","Sci-Fi","3"
"2019","HBO","Animation","2"
"2019","HBO","Short","2"
"2019","HBO","Action","2"
"2019","HBO","Adventure","3"
"2019","HBO","Fantasy","1"
"2019","HBO","Mystery","2"
"2019","HBO","Sci-Fi","2"
"2019","HBO","Thriller","2"
"2019","HBO","Comedy","4"
"2019","HBO","Drama","3"
"2020","Amazon","Action","1"
"2018","Amazon","Animation","1"
"2019","HBO","Family","1"
"2019","Hulu","Crime","2"
"2019","Hulu","News","1"
"2019","Hulu","Biography","2"
"2020","Hulu","Animation","2"
"2020","Hulu","Fantasy","1"
"2019","Amazon","Music","2"
"2019","Amazon","Musical","1"
"2019","Amazon","Documentary","1"
"2019","Hulu","Music","1"
"2019","Amazon","Horror","1"
