"imdb_id","origin","year","genre","rating","votes","status"
"tt2309295","Netflix","2013","Horror","7","43961","Concluded"
"tt2309295","Netflix","2013","Mystery","7","43961","Concluded"
"tt2309295","Netflix","2013","Sci-Fi","7","43961","Concluded"
"tt2309295","Netflix","2013","Thriller","7","43961","Concluded"
"tt2372162","Netflix","2013","Comedy","8","331385","Concluded"
"tt2372162","Netflix","2013","Crime","8","331385","Concluded"
"tt2372162","Netflix","2013","Drama","8","331385","Concluded"
"tt2189461","Netflix","2014","Action","7.9","82695","Cancelled"
"tt2189461","Netflix","2014","Adventure","7.9","82695","Cancelled"
"tt2189461","Netflix","2014","Drama","7.9","82695","Cancelled"
"tt2189461","Netflix","2014","History","7.9","82695","Cancelled"
"tt3520702","Netflix","2015","Drama","7.8","62172","Cancelled"
"tt3520702","Netflix","2015","Thriller","7.8","62172","Cancelled"
"tt3322312","Netflix","2015","Action","8.6","513651","Cancelled"
"tt3322312","Netflix","2015","Crime","8.6","513651","Cancelled"
"tt3322312","Netflix","2015","Drama","8.6","513651","Cancelled"
"tt3322312","Netflix","2015","Sci-Fi","8.6","513651","Cancelled"
"tt3322312","Netflix","2015","Thriller","8.6","513651","Cancelled"
"tt2431438","Netflix","2015","Drama","8.2","168819","Concluded"
"tt2431438","Netflix","2015","Mystery","8.2","168819","Concluded"
"tt2431438","Netflix","2015","Sci-Fi","8.2","168819","Concluded"
"tt2431438","Netflix","2015","Thriller","8.2","168819","Concluded"
"tt2707408","Netflix","2015","Biography","8.7","509752","Concluded"
"tt2707408","Netflix","2015","Crime","8.7","509752","Concluded"
"tt2707408","Netflix","2015","Drama","8.7","509752","Concluded"
"tt2707408","Netflix","2015","Thriller","8.7","509752","Concluded"
"tt2357547","Netflix","2015","Action","7.8","235503","Concluded"
"tt2357547","Netflix","2015","Crime","7.8","235503","Concluded"
"tt2357547","Netflix","2015","Drama","7.8","235503","Concluded"
"tt2357547","Netflix","2015","Sci-Fi","7.8","235503","Concluded"
"tt2357547","Netflix","2015","Thriller","7.8","235503","Concluded"
"tt3322314","Netflix","2016","Action","7.2","145780","Cancelled"
"tt3322314","Netflix","2016","Crime","7.2","145780","Cancelled"
"tt3322314","Netflix","2016","Drama","7.2","145780","Cancelled"
"tt3322314","Netflix","2016","Sci-Fi","7.2","145780","Cancelled"
"tt3322314","Netflix","2016","Thriller","7.2","145780","Cancelled"
"tt4635282","Netflix","2016","Drama","7.8","123704","Cancelled"
"tt4635282","Netflix","2016","Fantasy","7.8","123704","Cancelled"
"tt4635282","Netflix","2016","Mystery","7.8","123704","Cancelled"
"tt4635282","Netflix","2016","Sci-Fi","7.8","123704","Cancelled"
"tt4834206","Netflix","2017","Adventure","7.7","70423","Concluded"
